OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Plant_mean	Host-associated_mean	Waste water_mean	Soil_mean	Green Algae_mean	Air_mean	Red Algae_mean	Fresh water_mean	Other_mean	Rhizoplane_mean	Phylloplane_mean	Marine_mean	Sediment_mean	Rhizosphere_mean
denovo3782	1548.8686737	0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo6667	1508.1416403	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo6873	1734.03966372	0	0.0	0.0	0.0	0.0	0.0	0.0	1.325	0.0	0.142857142857	0.0	0.0078125	0.0	0.0	0.00286944045911	0.0	0.0
denovo6973	1508.14188339	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo7481	1508.1416403	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo9723	1508.14188339	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo9953	1508.14188339	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo10539	1508.1416403	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo10704	1508.1416403	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo18039	2011.42711039	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo18766	1508.14188339	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo23620	1508.14188339	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo25212	1508.14188339	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo20005	1476.43665701	5.18673304799e-308	9.74253706878e-305	1.36395518963e-303	0.0	0.0	0.0	0.0	0.6	0.0	1.42857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo422	1416.42700275	4.43454511907e-295	7.77434886642e-292	1.16615232996e-290	0.0	0.0	0.0	0.00143266475645	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.00143472022956	0.0	0.0
denovo13759	1397.54006347	5.20088226302e-291	8.54797505441e-288	1.36767600871e-286	0.0	0.0	0.0	0.0	0.05	0.0	0.714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo5244	1305.47221812	3.5141190152e-271	5.43592869075e-268	9.24107877427e-267	0.0714285714286	0.0	0.0	0.012893982808	0.0	0.0	0.0	0.0	0.0078125	0.769230769231	0.0	0.0	0.0	0.344827586207
denovo4158	1296.02540337	3.80054066479e-269	5.55237877012e-266	9.99428178621e-265	0.0	0.0	0.0	0.00286532951289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.590361445783	0.0
denovo10930	1254.99594156	2.58558860025e-260	3.57859070636e-257	6.79932234208e-256	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo19438	1225.46234006	5.87366030046e-254	7.72298224605e-251	1.54459644921e-249	0.0	0.0	0.0	0.0601719197708	0.0	0.0	0.0	0.0	0.0078125	1.10256410256	0.0	0.0	0.0	0.793103448276
denovo2173	1189.81549789	2.74870295798e-246	3.44203055647e-243	7.2282641686e-242	0.785714285714	0.0	0.0	0.0114613180516	0.0	0.0	0.0	0.0	0.0	1.33333333333	0.0666666666667	0.0	0.0	0.655172413793
denovo24455	1173.3312942	9.66851069128e-243	1.15569466204e-239	2.54252825649e-238	0.0	0.0	0.0	0.0	0.8	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0100430416069	0.0	0.0
denovo1411	1151.92172044	3.8947385288e-238	4.26749746217e-235	1.02419939092e-233	0.0	0.0	0.0	0.0	0.025	0.0	0.571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo21199	1151.92172044	3.8947385288e-238	4.26749746217e-235	1.02419939092e-233	0.0	0.0	0.0	0.0	0.025	0.0	0.571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo9888	1125.38123032	1.98651921434e-232	2.08957983118e-229	5.22394957795e-228	0.214285714286	0.000970873786408	0.0	1.30085959885	0.0	0.0	0.0	0.0612244897959	0.6796875	2.5641025641	0.133333333333	0.00717360114778	0.325301204819	6.39655172414
denovo17327	1102.292382	1.82955814565e-227	1.85045732908e-224	4.81118905561e-223	0.5	0.0	0.0	0.924068767908	0.0	0.0	0.0	0.0285714285714	0.4453125	1.48717948718	0.333333333333	0.0	0.361445783133	3.27586206897
denovo10515	1090.49959383	6.2729620471e-225	6.10963270195e-222	1.64960082953e-220	6.14285714286	0.00873786407767	0.0	0.793696275072	0.05	0.0	0.0	0.142857142857	0.203125	2.12820512821	0.133333333333	0.00286944045911	0.722891566265	3.81034482759
denovo5484	1056.64971451	1.18223072378e-217	1.11032576226e-214	3.10891213433e-213	0.0	0.0	0.313636363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo7997	1054.32635407	3.73220682696e-217	3.38433941133e-214	9.81458429285e-213	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0078125	0.0	0.0	0.0301291248207	0.0	0.0
denovo5545	1052.71241857	8.29421137849e-217	7.27042922067e-214	2.1811287662e-212	0.285714285714	0.0	0.0	0.669054441261	0.0	0.0	0.0	0.00816326530612	0.2109375	1.51282051282	0.266666666667	0.00143472022956	0.0120481927711	3.6724137931
denovo3176	1045.13427713	3.52471191141e-215	2.98997900433e-212	9.26893491343e-211	0.357142857143	0.0	0.0	0.00143266475645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo17143	1038.58128896	9.01762510984e-214	7.4105152348e-211	2.37136487514e-209	1.07142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025641025641	0.0	0.0	0.0	0.0344827586207
denovo24892	1037.99557754	1.20484993611e-213	9.60119356662e-211	3.16839387698e-209	0.0	0.0	0.0	0.143266475645	0.0	0.0	0.0	0.0	0.1796875	1.84615384615	0.0666666666667	0.0	0.0	2.63793103448
denovo15888	1006.57507729	6.76910471007e-207	5.23550431061e-204	1.78007146561e-202	0.5	0.0	0.0	0.0487106017192	0.0	0.0	0.0	0.00408163265306	0.1015625	0.846153846154	0.0	0.0	0.0	0.913793103448
denovo1612	1005.14245153	1.37475943327e-206	5.92680274383e-204	3.61520488167e-202	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo3960	1005.14245153	1.37475943327e-206	5.92680274383e-204	3.61520488167e-202	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo6406	1005.14245153	1.37475943327e-206	5.92680274383e-204	3.61520488167e-202	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo9398	1005.14245153	1.37475943327e-206	5.92680274383e-204	3.61520488167e-202	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo10735	1005.14245153	1.37475943327e-206	5.92680274383e-204	3.61520488167e-202	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo12677	1005.14245153	1.37475943327e-206	5.92680274383e-204	3.61520488167e-202	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo14456	1005.14245153	1.37475943327e-206	5.92680274383e-204	3.61520488167e-202	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo15028	1005.14245153	1.37475943327e-206	5.92680274383e-204	3.61520488167e-202	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
